name,type,latitude_deg,longitude_deg,state
Farewell Airport,small_airport,62.50659943,-153.8939972,AK
Amook Bay Seaplane Base,seaplane_base,57.4715004,-153.8150024,AK
Stony Mountain Lodge Airport,small_airport,61.257089,-153.797888,AK
Zachar Bay Seaplane Base,seaplane_base,57.553001,-153.746052,AK
Indian Mountain LRRS Airport,medium_airport,65.99279785,-153.7039948,AK
Farewell Lake Seaplane Base,seaplane_base,62.54249954,-153.6230011,AK
Tin Creek Airport,small_airport,62.53160095,-153.6109924,AK
West Point Village Seaplane Base,seaplane_base,57.77009964,-153.548996,AK
Tatitna Airport,small_airport,62.29330063,-153.3619995,AK
San Juan /Uganik/ Seaplane Base,seaplane_base,57.7304,-153.320999,AK
Old Harbor Airport,small_airport,57.2181015,-153.2700043,AK
Telida Airport,small_airport,63.39390182,-153.2689972,AK
Lonely Air Station,small_airport,70.91069794,-153.2420044,AK
Camp Point Airport,small_airport,59.82849884,-153.0809937,AK
Inigok Airport,small_airport,70.00379944,-153.0780029,AK
Port Bailey Seaplane Base,seaplane_base,57.93009949,-153.0410004,AK
Port Lions Airport,small_airport,57.88539886,-152.845993,AK
Rainy Pass Lodge Airport,small_airport,62.08409882,-152.7180023,AK
Allakaket Airport,small_airport,66.55180359,-152.621994,AK
Port Williams Seaplane Base,seaplane_base,58.49010086,-152.5820007,AK
Ouzinkie Airport,small_airport,57.925362,-152.496715,AK
Kodiak Airport,medium_airport,57.75,-152.4940033,AK
Trident Basin Seaplane Base,seaplane_base,57.78079987,-152.3910065,AK
Kodiak /Lilly Lake/ Seaplane Base,seaplane_base,57.80260086,-152.3829956,AK
Kodiak Municipal Airport,small_airport,57.80590057,-152.3739929,AK
Kitoi Bay Seaplane Base,seaplane_base,58.1908989,-152.3699951,AK
Redoubt View Seaplane Base,seaplane_base,60.419038,-152.354894,AK
Kodiak Emergency/Spruce Cape Heliport,heliport,57.80789948,-152.3540039,AK
Minchumina Airport,small_airport,63.88600159,-152.302002,AK
Purkeypile Airport,small_airport,62.9435997,-152.2700043,AK
Kogru River,small_airport,70.57396374,-152.2596717,AK
Seal Bay Seaplane Base,small_airport,58.3733,-152.2018,AK
Drift River Airport,small_airport,60.58890152,-152.1620026,AK
Umiat Airport,small_airport,69.37110138,-152.1360016,AK
Ralph M Calhoun Memorial Airport,small_airport,65.17440033,-152.1089935,AK
Crevice Creek Airport,small_airport,67.37290192,-152.0160065,AK
Nanwalek Airport,small_airport,59.35210037,-151.9250031,AK
Dog Fish Bay Airport,small_airport,59.24100113,-151.8769989,AK
Anchor River Airpark,small_airport,59.79669952,-151.8630066,AK
Port Graham Airport,small_airport,59.34830093,-151.8320007,AK
Art Z Airport,small_airport,64.6473999,-151.8099976,AK
Trading Bay Production Airport,small_airport,60.81549835,-151.798996,AK
Anaktuvuk Pass Airport,medium_airport,68.13359833,-151.7429962,AK
Seldovia Seaplane Base,seaplane_base,59.4341011,-151.7079926,AK
Seldovia Airport,small_airport,59.44240189,-151.7039948,AK
Lowell Field,small_airport,59.94919968,-151.6959991,AK
Ninilchik Airport,small_airport,60.02019882,-151.5890045,AK
Kasitsna Airport,small_airport,59.46879959,-151.572998,AK
South Peninsula Hospital Heliport,heliport,59.652261,-151.55,AK
Bettles Airport,medium_airport,66.91390228,-151.529007,AK
Jakolof Bay Airport,small_airport,59.45220184,-151.5220032,AK
Bootleggers Cove Airport,small_airport,59.470001,-151.51199,AK
Homer-Beluga Lake Seaplane Base,seaplane_base,59.6446991,-151.5019989,AK
Homer Airport,medium_airport,59.64559937,-151.477005,AK
Collensville/twincreek,small_airport,62.339363,-151.475352,AK
Vor Lake Waterlane Seaplane Base,seaplane_base,66.89929962,-151.4720001,AK
Nikolai Creek Airport,small_airport,61.01390076,-151.4490051,AK
Talachulitna River Airport,small_airport,61.85279846,-151.4080048,AK
Talaheim Airport,small_airport,61.67689896,-151.3869934,AK
Hackney Landing Seaplane Base,seaplane_base,60.28779984,-151.345993,AK
Johnson Airport,small_airport,60.63249969,-151.3399963,AK
Henley Airport,small_airport,60.593067,-151.327956,AK
Winter's Strip,small_airport,60.31159973,-151.3209991,AK
Island Lake Seaplane Base,seaplane_base,60.70439911,-151.3110046,AK
Offshore Systems-Kenai Heliport,heliport,60.73970032,-151.3079987,AK
Arness Lake Airport,small_airport,60.64390182,-151.3049927,AK
Encelewski Lake Seaplane Base,seaplane_base,60.25559998,-151.3029938,AK
McGahan Industrial Airpark,small_airport,60.72529984,-151.302002,AK
Carty's Airstrip,small_airport,60.70249939,-151.2940063,AK
Butler Aviation Airport,small_airport,60.72940063,-151.2779999,AK
Kasilof Airport,small_airport,60.35329819,-151.2630005,AK
Doyle Estates Airport,small_airport,60.50279999,-151.2599945,AK
PRL Logistics Heliport,heliport,60.529526,-151.256733,AK
Basquo Airport,closed,60.505798,-151.246003,AK
Kenai Municipal Airport,medium_airport,60.57310104,-151.2449951,AK
Kalifonsky Meadows Airport,small_airport,60.491537,-151.2352525,AK
Glacierview Strip,small_airport,59.7635994,-151.2230072,AK
Skwentna Airport,small_airport,61.96530151,-151.1909943,AK
Eastland Airport,small_airport,59.7757988,-151.1820068,AK
American Creek Airport,small_airport,65.1046,-151.176,AK
Gaede Airport,small_airport,60.47639847,-151.1660004,AK
Tyonek Airport,small_airport,61.0766983,-151.1380005,AK
Joe Clouds Seaplane Base,seaplane_base,60.72722244,-151.132782,AK
Soldotna Hospital H Heliport,heliport,60.49140167,-151.0780029,AK
Beluga Airport,small_airport,61.17219925,-151.0440063,AK
Beluga Heliport,heliport,61.18080139,-151.0410004,AK
River John Airport,small_airport,61.941944,-151.036111,AK
Soldotna Airport,medium_airport,60.47570038,-151.0339966,AK
Bear Cove Farm Airport,small_airport,59.73830032,-151.0299988,AK
Nuiqsut Airport,medium_airport,70.20999908,-151.0059967,AK
Mackeys Lakes Seaplane Base,seaplane_base,60.53359985,-150.9960022,AK
Kantishna Airport,small_airport,63.54169846,-150.9940033,AK
Bangerter Field,small_airport,60.517778,-150.959722,AK
Bradley Lake Hydroelectri Project Airstrip,small_airport,59.77610016,-150.9589996,AK
Nugget Bench Airport,small_airport,62.51729965,-150.9450073,AK
Alpine Airstrip,small_airport,70.34429932,-150.9450073,AK
Lakewood Airstrip,small_airport,60.53450012,-150.9389954,AK
Dahler Homestead Airport,small_airport,60.50360107,-150.9360046,AK
Dan France Airport,small_airport,60.47779846,-150.9290009,AK
CD-3 Airstrip,small_airport,70.420622,-150.886667,AK
Dutch Landing Strip,small_airport,60.54029846,-150.8679962,AK
Scout Lake Seaplane Base,closed,60.534199,-150.852001,AK
Sterling Air Park,small_airport,60.55530167,-150.8419952,AK
Scooter's Landing Strip,small_airport,60.52939987,-150.8309937,AK
Moose Run Airstrip,small_airport,60.48920059,-150.802002,AK
Kenai River Airpark,small_airport,60.52420044,-150.7519989,AK
Yentna Bend Strip,small_airport,61.725556,-150.678611,AK
Prospect Creek Airport,small_airport,66.81410217,-150.6439972,AK
Manley Hot Springs Airport,small_airport,64.99759674,-150.6439972,AK
Alaska Airpark,small_airport,60.528983,-150.625133,AK
Jewell Airport,small_airport,61.70470047,-150.6009979,AK
Breeden Airport,small_airport,60.54105,-150.599217,AK
Davidson Strip Airport,small_airport,62.1628972,-150.5396083,AK
C.T.S. Airport,small_airport,61.73310089,-150.526001,AK
Parker Lake Airport,small_airport,62.03590012,-150.4940033,AK
Skilak Blm Helistop,heliport,60.4803009,-150.4550018,AK
Helmericks Airport,closed,70.428338,-150.402896,AK
Laub Airport,small_airport,61.7655983,-150.3390045,AK
Rangeview Airstrip,small_airport,62.312778,-150.335833,AK
Stampede Airport,small_airport,63.74869919,-150.3300018,AK
Porcupine Creek Airport,closed,67.23789978,-150.2859955,AK
Fort Crosby Airport,small_airport,62.513888,-150.265277,AK
Little Susitna Airport,small_airport,61.37189865,-150.2619934,AK
Oooguruk Island Heliport,heliport,70.495422,-150.253467,AK
Mc Kinley Country Airport,small_airport,62.56769943,-150.2359924,AK
Era Chulitna River Heliport,heliport,62.56760025,-150.2359924,AK
Songlo Vista Airport,small_airport,62.56380081,-150.220993,AK
Eureka Creek Airport,small_airport,65.17590332,-150.220993,AK
Coldfoot Airport,small_airport,67.25219727,-150.2039948,AK
Deshka Landing Airport,small_airport,61.71879959,-150.1959991,AK
South Gasline Airport,small_airport,60.69720078,-150.1799927,AK
Fire Island Airport,small_airport,61.16830063,-150.1609955,AK
Rampart Airport,small_airport,65.50789642,-150.1410065,AK
Wiseman Airport,small_airport,67.40460205,-150.1230011,AK
Point Mac Airport,small_airport,61.43600082,-150.121994,AK
Robin'S Landing,small_airport,61.380461,-150.11625,AK
Talkeetna Village Strip,small_airport,62.31890106,-150.1159973,AK
Shirley Lake Airport,small_airport,61.74470139,-150.1150055,AK
AK-10 Airstrip,small_airport,61.71721,-150.108992,AK
